Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
Q9JK62	Q9JK62	KCNK5	KCNK5			MGI:1336175	MGI:1336175	32999458:0114:LC
Q9JK92	Q9JLV1	HSPB8	BAG3		MNCB-2243	MGI:2135756	MGI:1352493	11591653:0397:HT
Q9JKD8	Q9JKD8	TBX21	TBX21			MGI:1888984	MGI:1888984	27791029:0114:LC
Q9JKE2	Q9JKE2	TREM1	TREM1			MGI:1930005	MGI:1930005	15561137:0114:LC
Q9JKF6	Q9JKF6	NECTIN1	NECTIN1			MGI:1926483	MGI:1926483	PDB_5B21:0114:LC|22902367:0028:LC
Q9JKN5	Q9Z2U2	OLIG1	ZFP292			MGI:1355334	MGI:1353423	20211142:0018:HT|20211142:0397:HT
Q9JL60	Q9R164	GMEB1	ZFP111			MGI:2135604	MGI:1929114	20211142:0018:HT|20211142:0397:HT
Q9JL85	Q9JL85	Q9JL85	Q9JL85					PDB_1J05:0114:LC
Q9JLB9	Q9JLB9	NECTIN3	NECTIN3			MGI:1930171	MGI:1930171	22902367:0028:LC|PDB_5B22:0114:LC
Q9JLC6	Q9JLC6	TEF	TEF			MGI:98663	MGI:98663	20211142:0018:HT
Q9JLQ2	Q9JLQ2	GIT2	GIT2			MGI:1347053	MGI:1347053	32780989:0114:LC
Q9JLV6	Q9JLV6	PNKP	PNKP			MGI:1891698	MGI:1891698	22055185:0114:LC|15749016:0114:LC
Q9JMA2	Q9JMA2	QTRT1	QTRT1			MGI:1931441	MGI:1931441	PDB_6H62:0114:LC
Q9JMB7	Q9JMB7	PIWIL1	PIWIL1			MGI:1928897	MGI:1928897	24757166:0114:LC
Q9JMB8	Q9JMB8	CNTN6	CNTN6			MGI:1858223	MGI:1858223	27539848:0114:LC
Q9JMI7	Q9JMI7	TEX101	TEX101			MGI:1930791	MGI:1930791	32608065:0114:LC
